dataset,model,condition,metric,repetitions,mean,sd,empirical_low,empirical_high,mean_denominator_n
MMLU,google/gemma-2-2b-it,exp2,beneficial_revision,30,0.0,0.0,0.0,0.0,203.8
MMLU,google/gemma-2-2b-it,exp2,change_rate,30,0.024822444889779558,0.005770800403693457,0.013470340681362726,0.03371743486973947,499.53333333333336
MMLU,google/gemma-2-2b-it,exp2,conformity_rate,30,0.028196141184862224,0.006458077814428735,0.015382882882882882,0.03777204996608864,439.5
MMLU,google/gemma-2-2b-it,exp2,harmful_conformity,30,0.02106791540312131,0.0062641613643809255,0.010113745143307618,0.030880373169579593,295.73333333333335
MMLU,google/gemma-2-2b-it,exp2,target_adoption,30,0.14500280561122245,0.010917582815755039,0.1269,0.1680882765531062,499.53333333333336
MMLU,google/gemma-2-2b-it,exp3,accuracy,30,0.5244203072812291,0.013887043460441855,0.4978957915831663,0.544,499.53333333333336
MMLU,google/gemma-2-2b-it,exp3,beneficial_revision,30,0.008868068523355453,0.003994912674845947,0.0,0.015259459883812216,203.8
MMLU,google/gemma-2-2b-it,exp3,change_rate,30,0.11564141616566466,0.009057286260745773,0.1007507014028056,0.1291,499.53333333333336
MMLU,google/gemma-2-2b-it,exp3,conformity_rate,30,0.10637174795536161,0.010212518508811642,0.08490610328638498,0.12140644955300127,439.5
MMLU,google/gemma-2-2b-it,exp3,harmful_conformity,30,0.09931963489607867,0.0123219037410101,0.07435973207249802,0.11777272031823745,295.73333333333335
MMLU,google/gemma-2-2b-it,exp3,target_adoption,30,0.21273413493653975,0.011355816565244141,0.19669999999999999,0.23702404809619237,499.53333333333336
MMLU,google/gemma-2-2b-it,exp4,accuracy,30,0.5573854375417502,0.01785321438822626,0.5258,0.584,499.53333333333336
MMLU,google/gemma-2-2b-it,exp4,beneficial_revision,30,0.04398197702509367,0.01183816236333898,0.024022536150138447,0.06868654452094759,203.8
MMLU,google/gemma-2-2b-it,exp4,change_rate,30,0.08741509686038744,0.010928933656508965,0.06900170340681364,0.11455000000000001,499.53333333333336
MMLU,google/gemma-2-2b-it,exp4,conformity_rate,30,0.03238179677808414,0.00733826322721244,0.0182272661677696,0.046487229644939836,439.5
MMLU,google/gemma-2-2b-it,exp4,harmful_conformity,30,0.04138582533532791,0.010309966714766708,0.020697387005649718,0.060048891786179906,295.73333333333335
MMLU,google/gemma-2-2b-it,exp4,target_adoption,30,0.1347251837007348,0.013122443690807386,0.11035,0.15532374749498998,499.53333333333336
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,accuracy,30,0.3889556112957861,0.013182677275739917,0.36929292929292934,0.4168077149767291,496.03333333333336
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,beneficial_revision,30,0.007893154994537303,0.0036951082472288692,0.0,0.01372461029759093,152.93333333333334
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,change_rate,30,0.419935389409581,0.015912998543523228,0.38883299798792753,0.44451472556894245,496.03333333333336
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,conformity_rate,30,0.45326683857818134,0.016661931770514917,0.4224365124153499,0.47708009153318076,444.23333333333335
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,harmful_conformity,30,0.42872439564986786,0.01716814481276457,0.39796786737617684,0.4551907815348841,343.1
MMLU,microsoft/Phi-3.5-mini-instruct,exp1,target_adoption,30,0.5092398951279105,0.015130592198571073,0.4811873259760584,0.5338888888888889,496.03333333333336
